title,rating,director,writer,stars,storyline,genres,release_date,countries_of_origin,language,filming_locations,production_companies,budget,gross_worldwide,runtime
assume834,9.1,['Jacqueline Bauer'],"['Brandon Reed', 'Susan Reynolds']","['Paul Rubio', 'Paul Rubio', 'Andrew Casey']",Bring world entire finish heavy energy.,"['War', 'Superhero', 'Historical']",1984-06-14,"['Korea', 'Philippines']","['Russian', 'Portuguese', 'Walloon']",['Johnmouth'],"Tucker, Mckenzie and Johnson",839114,470853,94
pay120,6.8,"['Andrew Ball', 'Susan Reynolds', 'Andrew Casey']","['Paul Rubio', 'Andrew Casey', 'Paul Rubio', 'Kevin Freeman']","['Paul Rubio', 'Charles Carpenter', 'Brandon Reed']",Child its say already election physical.,"['Science Fiction (Sci-Fi)', 'Crime']",1993-04-02,['San Marino'],"['Abkhazian', 'Sichuan Yi', 'Bengali']","['Johnsonhaven', 'Torresberg', 'Lake Roger']","Morton, Walter and Mccann",853514,203564,158
short900,5.1,"['James Garcia', 'Brandon Reed', 'James Garcia', 'Susan Reynolds', 'Paul Rubio']","['Andrew Ball', 'Paul Rubio']",['Kevin Freeman'],Debate up material people style hear.,"['War', 'Fantasy', 'War']",1994-09-24,"['United States Virgin Islands', 'Antarctica (the territory South of 60 deg S)']","['Church Slavic', 'Western Frisian', 'Georgian', 'Navajo']",['Ferrelltown'],Smith-Mcintyre,151595,925324,95
property323,0.1,"['James Garcia', 'James Garcia']","['Brandon Reed', 'Susan Reynolds']",['Brandon Reed'],Change recent guess church item.,['Science Fiction (Sci-Fi)'],1971-02-17,['Cuba'],"['Ido', 'Shona']","['New Jessica', 'Kathrynchester', 'Lake James', 'Cameronchester', 'West John']",Christensen PLC,946355,506644,62
hot919,8.9,"['John Evans', 'Paul Rubio']",['Susan Reynolds'],"['Andrew Ball', 'Kevin Freeman', 'Andrew Casey']",Behavior popular still watch off suffer three.,"['Comedy', 'Comedy', 'Science Fiction (Sci-Fi)']",1970-01-31,"['Cameroon', 'Venezuela']","['Breton', 'Chichewa', 'Burmese', 'Malay']","['Timothymouth', 'Port Michael', 'East Donald', 'Heatherfort']","Norman, Mendoza and Cooper",127214,483511,81
worker448,3.4,"['James Garcia', 'John Evans', 'James Garcia', 'Charles Carpenter']","['Charles Carpenter', 'Charles Carpenter']","['James Garcia', 'James Garcia', 'Charles Carpenter', 'James Garcia', 'Andrew Ball']",Staff mention look likely through worker event.,"['Romance', 'Thriller', 'Drama', 'Fantasy']",2015-04-03,"['Qatar', 'Georgia', 'Papua New Guinea', 'Saint Helena', 'Yemen']","['Hungarian', 'Corsican', 'Northern Sami', 'Russian', 'Danish']","['Rothchester', 'West Michaelton', 'Butlerbury', 'Savannahview', 'Burnetthaven']",Munoz-Case,833945,292651,180
to431,7.9,"['John Evans', 'Brandon Reed', 'Paul Rubio']","['John Evans', 'Andrew Casey', 'Kevin Freeman']",['John Evans'],Order order form admit within likely.,"['Historical', 'Crime']",2012-06-12,"['Turks and Caicos Islands', 'Andorra']","['Persian', 'Mongolian', 'Tswana', 'Tatar', 'Tigrinya']","['East Gary', 'New Alexander']","Smith, Reese and Martin",514298,172821,99
imagine490,9.3,"['Brandon Reed', 'Susan Reynolds']",['Charles Carpenter'],"['Charles Carpenter', 'Andrew Ball', 'Kevin Freeman', 'John Evans', 'Kevin Freeman']",Population should spring eat set research.,"['Family', 'Thriller', 'Western', 'Family']",2016-05-20,['Greenland'],['Hungarian'],['Port William'],Pace-Stone,883082,591579,69
deep16,6.5,"['Andrew Ball', 'James Garcia', 'Charles Carpenter']",['Brandon Reed'],"['Kevin Freeman', 'Andrew Casey', 'Andrew Casey', 'James Garcia']",Everything network example per.,['Horror'],1971-04-05,"['Syrian Arab Republic', 'Liechtenstein', 'Taiwan', 'Rwanda', 'Pakistan']","['Abkhazian', 'Central Khmer', 'Uzbek']","['Port Amanda', 'West John', 'Joshuatown']",Johnson-Richmond,502626,534420,149
election941,8.9,"['Jacqueline Bauer', 'Brandon Reed']","['Brandon Reed', 'John Evans', 'Jacqueline Bauer', 'Paul Rubio', 'John Evans']",['Kevin Freeman'],Alone matter decision mission.,"['Action', 'Documentary', 'Family', 'War']",1986-12-27,"['French Polynesia', 'Sudan', 'Tonga']",['Luxembourgish'],['Lake Carl'],"Huffman, Dean and Kramer",480262,118168,121
maintain263,2.5,"['Charles Carpenter', 'Brandon Reed', 'Jacqueline Bauer', 'Andrew Casey', 'Brandon Reed']","['John Evans', 'John Evans', 'John Evans', 'James Garcia', 'Susan Reynolds']","['Kevin Freeman', 'James Garcia', 'John Evans', 'Andrew Casey', 'Charles Carpenter']",Me throw agency see campaign interest eye.,"['War', 'Animation', 'Documentary']",2015-11-14,"['Montserrat', 'Saint Lucia']","['Hindi', 'Esperanto', 'Romanian', 'Abkhazian', 'Tatar']","['East Robert', 'Lake Kimberlytown', 'East Kristinview', 'South Christopherberg']",Rogers and Sons,402478,538784,85
range980,0.9,"['John Evans', 'Brandon Reed', 'Andrew Casey', 'James Garcia']","['Paul Rubio', 'Charles Carpenter']",['Kevin Freeman'],Star same reach when finish compare past.,"['Western', 'Comedy', 'Animation', 'Historical']",2023-01-28,"['Peru', 'Gibraltar', 'Dominica', 'Italy']",['Limburgan'],"['Schmittshire', 'South Danielton', 'Aguilarfort', 'Leefurt', 'West Jack']",Manning-Pruitt,660078,960132,168
interview884,7.1,"['Andrew Casey', 'Charles Carpenter', 'Jacqueline Bauer', 'James Garcia', 'Charles Carpenter']","['Andrew Ball', 'Jacqueline Bauer']","['Jacqueline Bauer', 'John Evans', 'Brandon Reed', 'Brandon Reed', 'Charles Carpenter']",Service huge six much return.,"['Crime', 'Western', 'Documentary']",2002-03-03,"['Aruba', 'United Kingdom']","['Ukrainian', 'Tahitian', 'Divehi']","['Lewistown', 'Port Erinton', 'East Cynthiaburgh', 'North Lynnside', 'Port Laurabury']",Aguirre PLC,327356,288811,89
view739,8.7,['Charles Carpenter'],"['Paul Rubio', 'Andrew Casey', 'Jacqueline Bauer']","['Paul Rubio', 'Kevin Freeman', 'Brandon Reed', 'Paul Rubio', 'John Evans']",Such structure buy conference pull.,"['War', 'Science Fiction (Sci-Fi)', 'Science Fiction (Sci-Fi)', 'Thriller', 'Superhero']",1988-08-05,"['Cook Islands', 'Kenya', 'Oman', 'Angola', 'South Africa']","['Chamorro', 'Tajik']",['Monicastad'],Ray and Sons,463381,340045,132
top977,5.2,"['Brandon Reed', 'Andrew Ball', 'Andrew Casey', 'Jacqueline Bauer']","['Charles Carpenter', 'Kevin Freeman']","['Andrew Casey', 'Jacqueline Bauer', 'Susan Reynolds', 'James Garcia', 'Kevin Freeman']",Movie receive wind if newspaper his evidence maybe.,"['Romance', 'Biographical', 'Western']",1971-02-08,"['Botswana', 'Guinea']","['Panjabi', 'Italian']","['South Ryanmouth', 'Smithland', 'Barberhaven', 'Lake Miguelside', 'Burnstown']",Franklin and Sons,543353,769699,103
after129,7.8,"['Jacqueline Bauer', 'Brandon Reed', 'Andrew Ball', 'Andrew Casey', 'Paul Rubio']","['Brandon Reed', 'Charles Carpenter', 'Susan Reynolds', 'Brandon Reed']","['James Garcia', 'Kevin Freeman']",Bed exist maintain color.,"['Documentary', 'War', 'Animation']",1981-05-12,"['Mongolia', 'Ethiopia', 'Ireland']","['English', 'Bashkir']","['West Jessicafort', 'Evansview', 'East Sherrymouth']","Simmons, Smith and Logan",949690,121673,170
after532,7.1,['Andrew Ball'],"['Susan Reynolds', 'Jacqueline Bauer', 'Andrew Casey', 'Andrew Ball']","['Charles Carpenter', 'James Garcia', 'Brandon Reed', 'Paul Rubio']",Sing option short music expert happen.,"['Horror', 'Western', 'Superhero', 'Family']",1975-07-24,"['Algeria', 'Saint Martin', 'Jamaica', 'Chad', 'Finland']","['Chuvash', 'Fijian', 'Divehi', 'Afar']",['Lynnton'],Miller Ltd,962485,811576,82
billion967,6.6,"['Susan Reynolds', 'Susan Reynolds', 'John Evans']","['Kevin Freeman', 'John Evans', 'Paul Rubio', 'John Evans', 'Jacqueline Bauer']","['Jacqueline Bauer', 'Paul Rubio']",Reflect cultural not television west table.,"['Fantasy', 'Science Fiction (Sci-Fi)']",2017-01-30,"['French Polynesia', 'China', 'Uruguay']",['Sango'],"['East Jonathanberg', 'Lake Janet', 'South Deanna']","Marsh, Cain and Burgess",748564,410181,100
set373,8.2,"['Charles Carpenter', 'Kevin Freeman', 'Jacqueline Bauer']","['James Garcia', 'Charles Carpenter', 'Brandon Reed']","['John Evans', 'Andrew Casey']",Alone wrong out inside.,"['Family', 'Historical', 'Action', 'Superhero', 'Romance']",1994-12-03,"['Northern Mariana Islands', 'Syrian Arab Republic', 'Russian Federation', 'Grenada']","['Fijian', 'Shona']","['Port Amanda', 'Watsonport']",Cross-Singh,813090,155619,147
his507,9.6,['Susan Reynolds'],"['Jacqueline Bauer', 'Andrew Ball', 'Paul Rubio', 'Susan Reynolds', 'Brandon Reed']",['Brandon Reed'],Various fire note treat.,"['Crime', 'Fantasy']",1989-12-22,"['United Kingdom', 'British Virgin Islands', 'Brazil', 'Somalia']","['Tonga', 'Nauru', 'Samoan']","['West Anna', 'Schmidtmouth', 'Port Miketown', 'Port Christopher']",Mosley LLC,349232,818753,66
building848,7.1,"['Andrew Casey', 'Susan Reynolds', 'Charles Carpenter']","['Charles Carpenter', 'Brandon Reed', 'Jacqueline Bauer', 'John Evans']","['James Garcia', 'Andrew Ball']",Its yourself understand avoid.,"['Animation', 'Horror', 'Adventure', 'Documentary', 'Musical']",2006-09-27,"['Italy', 'Palestinian Territory', 'Chad']","['Welsh', 'Hungarian', 'Zhuang', 'French']","['Nicholasmouth', 'Hillberg']",Morrison Inc,718034,105274,114
season964,1.7,"['James Garcia', 'Susan Reynolds', 'Susan Reynolds', 'James Garcia']","['James Garcia', 'Susan Reynolds', 'Kevin Freeman']","['Brandon Reed', 'Andrew Ball']",Include mention bank health black might when.,['Historical'],1982-04-17,"['Madagascar', 'Isle of Man']","['Occitan', 'Latin']",['New Rebecca'],Benson-Jones,574815,689605,149
picture874,6.5,"['Andrew Ball', 'Andrew Casey', 'Andrew Ball', 'Brandon Reed']",['James Garcia'],"['Paul Rubio', 'Andrew Ball', 'Susan Reynolds']",Help her well.,"['War', 'Sport']",2008-05-03,"['Belize', 'Saudi Arabia']","['Cree', 'Assamese', 'Vietnamese']","['Evansfurt', 'Port Laceyhaven', 'West Davidborough', 'Leahmouth']","James, Hernandez and Dean",304170,809400,120
tonight146,9.4,"['Andrew Ball', 'James Garcia', 'James Garcia', 'Kevin Freeman', 'Kevin Freeman']","['Charles Carpenter', 'Jacqueline Bauer', 'Andrew Casey', 'Kevin Freeman']","['Kevin Freeman', 'Andrew Casey', 'Susan Reynolds']",Live natural trade wide positive family.,"['Biographical', 'Biographical', 'Drama']",2019-05-07,['Zimbabwe'],['Luba-Katanga'],['Lake Jennifer'],Frank-Page,538504,247002,150
off163,9.6,"['Brandon Reed', 'Andrew Casey', 'Charles Carpenter']","['Andrew Ball', 'Andrew Ball', 'John Evans', 'Jacqueline Bauer']","['John Evans', 'Charles Carpenter', 'Susan Reynolds', 'Andrew Ball', 'John Evans']",Above claim about he color.,"['Crime', 'Crime']",1970-02-27,"['Kyrgyz Republic', 'Kyrgyz Republic', 'Guinea']","['Dzongkha', 'Malayalam', 'Breton', 'Kikuyu', 'Komi']","['Port Christineburgh', 'Waltersburgh', 'New Nicholasfort', 'Colemanhaven']",Conner-Williams,355704,202042,171
son576,8.8,['Charles Carpenter'],"['Andrew Casey', 'James Garcia', 'Charles Carpenter', 'James Garcia', 'Charles Carpenter']","['Susan Reynolds', 'John Evans']",Fish wife two usually simple.,"['Superhero', 'Documentary', 'Musical', 'Family']",2000-06-05,"['Madagascar', 'Jersey', 'Malawi']","['Kurdish', 'Wolof', 'Tagalog', 'Latvian', 'Gujarati']","['Molinahaven', 'Judithshire']",Ortega-Tucker,542890,599488,166
happy522,4.4,"['Brandon Reed', 'Kevin Freeman']","['Kevin Freeman', 'Kevin Freeman', 'Andrew Casey', 'James Garcia', 'John Evans']","['Andrew Casey', 'Paul Rubio', 'Paul Rubio', 'Brandon Reed']",Enter increase cut.,"['Biographical', 'Comedy', 'Fantasy', 'Sport']",2003-09-02,"['Anguilla', 'Bosnia and Herzegovina', 'Liberia']","['South Ndebele', 'Icelandic', 'Nepali', 'Fulah']","['West Amymouth', 'New Elizabethport', 'Thomasbury', 'East Keith']",Butler Group,654367,808223,115
music468,8.3,"['Andrew Casey', 'Brandon Reed', 'Kevin Freeman', 'Andrew Ball', 'James Garcia']","['Brandon Reed', 'Andrew Casey', 'Charles Carpenter']","['Jacqueline Bauer', 'John Evans', 'Jacqueline Bauer']",Give service behavior occur special.,"['Crime', 'Musical', 'Thriller']",1971-02-26,"['France', 'Niue']","['Bislama', 'French', 'Sinhala', 'Romansh']","['Alexandrachester', 'East Jaime', 'Ashleychester', 'Combsburgh', 'Lake Hunter']","Holmes, Horne and Hunter",930251,196823,153
real353,6.2,"['Kevin Freeman', 'Susan Reynolds', 'Andrew Ball']","['James Garcia', 'Kevin Freeman', 'Andrew Ball']","['Andrew Casey', 'Brandon Reed']",Goal follow put partner himself.,"['Action', 'Crime', 'Superhero', 'Sport', 'Sport']",1999-04-02,"['Tanzania', 'Iran', 'Azerbaijan', 'Paraguay']","['Tajik', 'Catalan', 'Sinhala', 'Romanian']","['Lake Travis', 'Shawmouth', 'Michaelside']","Briggs, Williams and Lopez",447970,144995,170
would348,0.4,"['John Evans', 'Jacqueline Bauer', 'James Garcia', 'Paul Rubio', 'Andrew Casey']",['Susan Reynolds'],"['James Garcia', 'Brandon Reed']",Her call hospital develop.,"['Mystery', 'Musical', 'Sport', 'Adventure']",1996-09-30,['Antigua and Barbuda'],"['Croatian', 'Polish']",['West Bryan'],"Frazier, Drake and Kennedy",742116,146421,164
while768,3.3,['Kevin Freeman'],"['John Evans', 'James Garcia', 'Andrew Ball']","['John Evans', 'Susan Reynolds', 'Andrew Ball']",Consider there one purpose feeling movement behavior task.,"['Romance', 'Thriller']",1989-08-21,"['Algeria', 'Korea', 'Martinique', 'Uruguay', 'Malaysia']","['English', 'Slovak', 'Latvian', 'Chamorro']","['Aaronbury', 'Traciborough', 'Jessicaburgh', 'Leachchester']",White-Peters,935617,789933,82
off602,7.6,"['Andrew Casey', 'Jacqueline Bauer', 'Kevin Freeman']","['John Evans', 'Susan Reynolds', 'John Evans', 'Andrew Ball', 'Andrew Ball']","['Kevin Freeman', 'John Evans', 'Charles Carpenter', 'Andrew Casey', 'Susan Reynolds']",Article instead meet interest guess card ahead.,"['Family', 'Sport', 'Science Fiction (Sci-Fi)', 'Animation', 'Science Fiction (Sci-Fi)']",1999-12-28,"['Papua New Guinea', 'Czech Republic', 'Saint Kitts and Nevis', 'Georgia', 'Iraq']","['Zhuang', 'Bambara', 'Sardinian', 'Catalan']","['West Lauren', 'South Ashleyton', 'Toddburgh', 'West Sarah']",Shaw-Johnson,901033,699818,180
