title,rating,director,writer,stars,storyline,genres,release_date,countries_of_origin,language,filming_locations,production_companies,budget,gross_worldwide,runtime
himself932,6.5,"['Jocelyn Edwards', 'Alan Pace', 'Robert Clark', 'Stephanie Tucker', 'Jocelyn Edwards']","['Brittany King', 'Jocelyn Edwards']","['Jessica Woods', 'Stephanie Tucker']",Kind much party continue interview.,"['Thriller', 'Biographical', 'Romance']",1976-09-07,['China'],"['Manx', 'French']",['New Walter'],"Duarte, Monroe and Fuller",782653,742350,89
mother130,3.4,"['Brad Sanchez', 'Brad Sanchez']","['Jocelyn Edwards', 'Marisa Perkins', 'Stephanie Tucker', 'Alan Pace', 'Alan Pace']","['Stephanie Tucker', 'Brittany King']",South word decision catch cold.,"['Crime', 'Documentary', 'Science Fiction (Sci-Fi)']",1996-10-25,['Morocco'],"['Spanish', 'Aragonese']","['Frankburgh', 'Howardhaven']",Collins-Turner,140606,136660,67
more776,4.5,['Marisa Perkins'],"['Stephanie Tucker', 'Marisa Perkins']","['Brad Sanchez', 'Alan Pace', 'Brittany King', 'Brad Sanchez', 'Brad Sanchez']",Her occur break sort conference perform candidate wait.,"['War', 'Thriller', 'Sport', 'Thriller']",2019-10-19,['Syrian Arab Republic'],"['Divehi', 'Turkish']","['Rodneyborough', 'West Heather', 'South Sherryton', 'East Donald']",Hardy and Sons,275647,319145,94
total760,4.7,"['Kyle Lynch', 'Marisa Perkins', 'Brittany King', 'Jessica Woods']",['Timothy Williams'],['Marisa Perkins'],Past amount member shake sell early cell.,"['Family', 'Documentary', 'Western']",1979-01-10,"['Niger', 'Haiti']",['Zhuang'],"['Port Madeline', 'Elizabethberg', 'West Laura', 'East Kiaraton']",Holmes Ltd,740130,170326,154
value855,4.4,['Brittany King'],"['Robert Clark', 'Brittany King', 'Timothy Williams', 'Timothy Williams', 'Robert Clark']","['Alan Pace', 'Kyle Lynch']",Say hair he safe prepare other yet.,['Documentary'],1985-08-10,"['Puerto Rico', 'Syrian Arab Republic', 'Benin', 'Bulgaria', 'Belgium']","['Gujarati', 'Indonesian', 'Dutch', 'Pushto']","['Markside', 'Bishopfurt', 'South Ryan', 'Sonyaside']",Butler and Sons,493208,772608,111
certain240,5.3,"['Timothy Williams', 'Timothy Williams', 'Robert Clark', 'Alan Pace', 'Robert Clark']","['Kyle Lynch', 'Alan Pace', 'Robert Clark', 'Alan Pace']","['Jocelyn Edwards', 'Robert Clark', 'Brad Sanchez', 'Jessica Woods', 'Robert Clark']",Material weight control half specific hundred join study.,"['Fantasy', 'Romance', 'Animation', 'Romance']",2009-04-26,['Latvia'],['Haitian'],"['West Rachel', 'North Stacy', 'West Kristenside', 'Lake Kathryn', 'Smithberg']",Miller Inc,804550,465801,97
in565,9.2,"['Brad Sanchez', 'Brittany King', 'Stephanie Tucker', 'Alan Pace']","['Jessica Woods', 'Stephanie Tucker', 'Brittany King', 'Kyle Lynch']","['Jessica Woods', 'Jocelyn Edwards', 'Jocelyn Edwards', 'Jocelyn Edwards']",Role outside minute.,"['Sport', 'Adventure', 'Adventure']",2015-01-06,"['Western Sahara', 'Comoros', 'Bahamas', 'Falkland Islands (Malvinas)', 'Mongolia']","['Kikuyu', 'Sotho, Southern']","['East Amandaland', 'South Williamburgh']",Brown Group,678612,665506,160
rate86,7.2,"['Stephanie Tucker', 'Robert Clark', 'Jessica Woods', 'Kyle Lynch']","['Alan Pace', 'Jocelyn Edwards', 'Brittany King', 'Marisa Perkins', 'Kyle Lynch']","['Brittany King', 'Marisa Perkins', 'Timothy Williams', 'Stephanie Tucker']",Why particularly fish federal poor.,"['Romance', 'Animation', 'Action', 'War', 'War']",2005-02-10,"['Solomon Islands', 'Isle of Man', 'Western Sahara', 'Mauritania']","['Kongo', 'Marathi']","['Lake Lynn', 'New Craigburgh', 'Justinville']",Schneider-Alvarez,361060,427728,137
can935,7.2,"['Brittany King', 'Marisa Perkins', 'Robert Clark', 'Jessica Woods', 'Marisa Perkins']","['Kyle Lynch', 'Robert Clark']","['Timothy Williams', 'Alan Pace']",Reduce great woman friend adult doctor watch.,"['Western', 'Historical', 'Adventure', 'Drama', 'Crime']",1984-08-23,"['Burundi', 'Singapore', 'Marshall Islands', 'Thailand', 'Aruba']","['Bashkir', 'Occitan', 'Chamorro']",['South Dianetown'],Cox Group,480613,123698,60
issue919,1.3,"['Kyle Lynch', 'Brad Sanchez', 'Alan Pace', 'Brad Sanchez', 'Kyle Lynch']","['Timothy Williams', 'Timothy Williams', 'Stephanie Tucker']",['Robert Clark'],Enjoy bar model science there administration.,"['Science Fiction (Sci-Fi)', 'Comedy']",2017-08-12,"['Sri Lanka', 'Palau', 'Senegal', 'Senegal']","['Hungarian', 'Japanese', 'Pali', 'Luxembourgish', 'Croatian']","['Schneiderville', 'West Christopherborough', 'New Adrian']",Holmes-Cole,947249,933187,103
