title,rating,director,writer,stars,storyline,genres,release_date,countries_of_origin,language,filming_locations,production_companies,budget,gross_worldwide,runtime
two393,3.0,"['Taylor Ryan', 'Austin Frazier', 'Austin Frazier']","['Austin Frazier', 'Taylor Ryan', 'Amanda Schroeder', 'Mr. Billy Davis']","['Felicia Wheeler', 'Albert Rodriguez']",Source really everybody resource.,"['Horror', 'Documentary']",2007-05-09,"['Falkland Islands (Malvinas)', 'Norfolk Island', 'Rwanda']",['Italian'],['West Justin'],Smith LLC,321247,393825,105
decade904,7.5,['Amanda Schroeder'],"['Alan Hill', 'Amanda Schroeder']","['Tamara Mclaughlin', 'Austin Frazier']",Right process within western training Mrs.,"['Historical', 'Drama', 'War', 'Action']",1970-01-12,"['Solomon Islands', 'Ghana', 'South Georgia and the South Sandwich Islands', 'Albania', 'Venezuela']","['Bihari languages', 'Slovak', 'Kannada', 'Chechen']",['North Garybury'],Palmer Ltd,672459,375677,125
foot411,7.0,"['Mr. Billy Davis', 'Mr. Billy Davis', 'Taylor Ryan']","['Albert Rodriguez', 'Amanda Schroeder', 'Thomas Nelson']",['Thomas Nelson'],Record despite leave property something plant fine.,"['Thriller', 'Action', 'Horror', 'Comedy', 'Western']",2011-05-28,"['Congo', 'Malaysia']","['Tonga', 'North Ndebele', 'Breton', 'Ido', 'Wolof']",['West Jeanette'],"Nichols, Stafford and Martinez",835993,155197,108
name954,1.1,['Thomas Nelson'],"['Austin Frazier', 'Amanda Schroeder']","['Austin Frazier', 'Tamara Mclaughlin', 'Austin Frazier']",State without summer perform total not.,"['Western', 'Documentary']",1999-11-10,"['Mauritania', 'Honduras']","['Marathi', 'Icelandic', 'Finnish']","['New Jameschester', 'Lake Jesse', 'Branchchester']","Wise, Hartman and Pearson",701033,974955,139
officer90,4.2,"['Alan Hill', 'Alan Hill', 'Albert Rodriguez', 'Lawrence Jenkins', 'Alan Hill']","['Lawrence Jenkins', 'Lawrence Jenkins', 'Albert Rodriguez']","['Alan Hill', 'Taylor Ryan']",Cause think also this.,"['Documentary', 'Animation', 'Romance', 'Historical']",1976-04-16,"['Turkmenistan', 'Israel', 'Jersey', 'Algeria', 'Togo']",['Ndonga'],['New Amber'],"Taylor, Taylor and Gonzalez",680138,388829,135
identify942,0.7,"['Felicia Wheeler', 'Mr. Billy Davis', 'Alan Hill']","['Lawrence Jenkins', 'Austin Frazier', 'Mr. Billy Davis', 'Felicia Wheeler']","['Lawrence Jenkins', 'Thomas Nelson', 'Alan Hill', 'Alan Hill']",A base situation sea response be entire.,"['Romance', 'Romance']",1991-10-19,['Azerbaijan'],"['Amharic', 'Zulu', 'Kikuyu', 'Bihari languages', 'Corsican']","['Reginatown', 'Wellsmouth', 'East Shannon']",Braun Ltd,884600,274349,164
from359,3.4,"['Amanda Schroeder', 'Taylor Ryan', 'Lawrence Jenkins', 'Lawrence Jenkins']","['Felicia Wheeler', 'Mr. Billy Davis', 'Lawrence Jenkins', 'Albert Rodriguez', 'Alan Hill']","['Tamara Mclaughlin', 'Alan Hill', 'Tamara Mclaughlin', 'Tamara Mclaughlin']",Later admit do edge least.,['Animation'],1972-06-15,"['Andorra', 'Guinea', 'Liberia', 'Philippines', 'South Africa']","['Sardinian', 'Swahili', 'Kazakh', 'Fijian', 'Sango']","['Coxton', 'West Lauren', 'Victoriastad', 'Lake Aaronville', 'South Brittanybury']",Cortez Ltd,554237,194171,98
recent465,4.4,"['Albert Rodriguez', 'Albert Rodriguez', 'Thomas Nelson', 'Thomas Nelson', 'Felicia Wheeler']","['Tamara Mclaughlin', 'Taylor Ryan', 'Amanda Schroeder']","['Tamara Mclaughlin', 'Austin Frazier', 'Lawrence Jenkins', 'Amanda Schroeder', 'Taylor Ryan']",Life particular appear prepare.,"['Musical', 'Fantasy', 'Musical', 'Drama']",2001-01-04,"['Mayotte', 'Togo', 'Sri Lanka', 'Italy', 'Pakistan']","['Northern Sami', 'Welsh', 'Bulgarian', 'Georgian', 'Telugu']","['Chandlerchester', 'Robertville', 'North Jakefurt', 'Victoriabury', 'New Neilview']",Smith Group,539181,801562,118
level304,3.8,"['Felicia Wheeler', 'Tamara Mclaughlin', 'Albert Rodriguez', 'Felicia Wheeler', 'Lawrence Jenkins']","['Lawrence Jenkins', 'Amanda Schroeder']",['Tamara Mclaughlin'],Nor small group ahead instead reveal behavior.,"['Crime', 'Sport', 'Historical', 'War', 'Musical']",2022-05-17,"['Namibia', 'Gibraltar', 'Bolivia', 'Antigua and Barbuda']",['Dzongkha'],"['Rochatown', 'South Aaron']","Lin, Valenzuela and Maddox",467773,322775,150
inside584,9.6,"['Albert Rodriguez', 'Mr. Billy Davis', 'Felicia Wheeler', 'Albert Rodriguez', 'Thomas Nelson']","['Felicia Wheeler', 'Albert Rodriguez', 'Taylor Ryan']","['Austin Frazier', 'Thomas Nelson', 'Lawrence Jenkins', 'Felicia Wheeler', 'Felicia Wheeler']",Challenge authority pressure show.,"['Science Fiction (Sci-Fi)', 'War']",1976-04-20,"['Czech Republic', 'Heard Island and McDonald Islands', 'Martinique']","['Slovak', 'Samoan', 'Japanese', 'Kazakh']","['Adriennehaven', 'Andrealand']",Fowler and Sons,107347,940507,124
