title,rating,director,writer,stars,storyline,genres,release_date,countries_of_origin,language,filming_locations,production_companies,budget,gross_worldwide,runtime
again683,6.9,"['Penny Joseph', 'Lori Davis', 'Angela Perry', 'Jerry Lawson']","['Angela Perry', 'Marilyn Hayes', 'Brittany Harper']","['Marilyn Hayes', 'Diane Harper', 'Brittany Harper', 'Diane Harper', 'Penny Joseph']",Gun through lot item perform.,"['Thriller', 'Biographical']",1975-04-04,"['Sierra Leone', 'Tajikistan', 'Egypt', 'Estonia']","['Ido', 'Xhosa', 'Malayalam', 'Interlingue']",['West Kevin'],Harris-Lee,816277,493973,114
specific497,1.5,"['Diane Harper', 'Jerry Lawson', 'Diane Harper', 'Angela Perry']","['Melinda Flores', 'Melinda Flores', 'Marilyn Hayes']","['Melinda Flores', 'Lori Davis', 'Mary Thompson']",Work song magazine gun successful environmental learn.,"['Comedy', 'Sport', 'Science Fiction (Sci-Fi)']",1990-08-25,['Nauru'],"['Catalan', 'Luba-Katanga']","['Allentown', 'South Sharon', 'East Christopherstad', 'Scottshire']","Hinton, Elliott and Matthews",423983,566345,75
this357,9.2,"['Diane Harper', 'Angela Perry']",['Angela Perry'],"['Melinda Flores', 'Marilyn Hayes']",Loss teach game any time.,['War'],1990-02-20,"['Pakistan', 'Algeria']","['Bambara', 'Tonga', 'Assamese']","['Eduardochester', 'Sarahburgh']",Wood LLC,375632,812209,159
agency359,2.9,"['Mary Thompson', 'Lori Davis']","['Brittany Harper', 'Marilyn Hayes']","['Marilyn Hayes', 'Penny Joseph', 'William Burch', 'Marilyn Hayes', 'Melinda Flores']",Around according account respond.,"['Action', 'Crime', 'Superhero', 'Crime', 'Documentary']",2004-11-23,"['Australia', 'Nauru', 'Guernsey']","['Twi', 'Ojibwa', 'Georgian', 'Aymara', 'Maori']","['Kaylatown', 'Carrollview']","Morris, Potter and Young",213848,194094,166
recognize608,8.4,"['Jerry Lawson', 'Angela Perry', 'William Burch', 'Melinda Flores']","['Melinda Flores', 'Angela Perry']","['Penny Joseph', 'Brittany Harper', 'Marilyn Hayes']",Almost economic next none manage only.,['Science Fiction (Sci-Fi)'],1986-09-29,['Guatemala'],"['Pali', 'Marathi']","['Johnsonfurt', 'North Garyfurt', 'East Jasonstad', 'Hernandezside']",Wilson and Sons,762383,472595,113
before342,4.9,['Angela Perry'],"['Melinda Flores', 'Penny Joseph', 'Marilyn Hayes', 'Penny Joseph']",['Marilyn Hayes'],Center cause town mouth.,['Family'],1984-01-08,"['Sweden', 'Cocos (Keeling) Islands', 'Thailand', 'Tokelau', 'Lebanon']","['Quechua', 'Tigrinya', 'North Ndebele', 'Kirghiz', 'Navajo']",['North Daniel'],Perry PLC,691878,415335,171
south563,8.9,"['Jerry Lawson', 'Angela Perry', 'Penny Joseph', 'Melinda Flores', 'William Burch']",['Melinda Flores'],"['Diane Harper', 'William Burch', 'Brittany Harper']",Above if process measure little.,"['Drama', 'Drama', 'Family', 'Adventure', 'War']",1986-12-19,"['Nauru', 'Sierra Leone', 'Taiwan']","['Turkish', 'Swahili', 'German', 'Komi']","['Hancockton', 'East Tinaland', 'Port Stephanie']",Vance-Harris,869443,452959,131
instead784,5.6,['Jerry Lawson'],"['William Burch', 'Mary Thompson', 'Penny Joseph', 'Jerry Lawson', 'Jerry Lawson']","['Melinda Flores', 'Marilyn Hayes', 'William Burch', 'Lori Davis', 'Melinda Flores']",High pass necessary science.,"['Action', 'Adventure', 'Family']",1996-05-28,"['British Indian Ocean Territory (Chagos Archipelago)', 'Moldova']","['Quechua', 'Walloon', 'Afar', 'Tonga', 'Manx']","['West Deborah', 'Bonniestad', 'North Kathleenmouth']","Weaver, Cox and Daniel",596352,708289,131
company741,3.7,"['Mary Thompson', 'Jerry Lawson']","['William Burch', 'Mary Thompson']","['William Burch', 'Melinda Flores', 'Mary Thompson', 'Jerry Lawson']",Gas tax talk.,"['Sport', 'Drama', 'Mystery']",2005-01-03,"['Angola', 'Serbia']",['Ossetian'],['North Jamesshire'],"Gonzalez, Ward and Stone",675443,250023,168
return117,7.6,"['Angela Perry', 'William Burch', 'Angela Perry', 'Angela Perry']","['Brittany Harper', 'Lori Davis']","['Angela Perry', 'Melinda Flores', 'Angela Perry', 'Angela Perry']",Letter message poor present figure game always.,['Western'],2000-08-28,"['Mali', 'Spain', 'Ghana']","['Sotho, Southern']","['South Karen', 'Bakerland', 'Richardside', 'Torresville', 'Stewartville']",Robinson Group,860000,554292,125
here783,5.8,"['Melinda Flores', 'William Burch', 'Lori Davis', 'Angela Perry']","['Angela Perry', 'Melinda Flores', 'Mary Thompson', 'William Burch', 'Diane Harper']","['Melinda Flores', 'William Burch', 'Lori Davis', 'Penny Joseph']",Treatment level half pick week food forward.,"['Romance', 'Western', 'Adventure']",1985-02-02,"['Denmark', 'Dominican Republic', 'Russian Federation', 'British Virgin Islands', 'Qatar']",['Belarusian'],"['West Chase', 'Karatown', 'Moralesborough', 'New Brittney', 'Gregoryport']",Ford PLC,993359,782178,158
us768,3.1,"['William Burch', 'Penny Joseph']","['William Burch', 'Mary Thompson']","['Melinda Flores', 'Angela Perry']",International message decision several exactly member.,"['Science Fiction (Sci-Fi)', 'Superhero', 'Action', 'Mystery', 'Family']",1996-06-18,"['Netherlands', 'French Southern Territories', 'Marshall Islands', 'Turks and Caicos Islands', 'Syrian Arab Republic']","['Serbian', 'Javanese', 'Ossetian', 'Georgian', 'Marshallese']",['East Richard'],Miller-Henderson,389341,876103,93
toward195,7.1,"['Jerry Lawson', 'Marilyn Hayes', 'Melinda Flores']",['Diane Harper'],['William Burch'],Sort newspaper follow miss away.,"['Horror', 'Horror', 'Crime']",1990-01-21,"['Togo', 'Liechtenstein', 'Tunisia']","['Venda', 'Xhosa']","['Lake Taylorfurt', 'Caitlinburgh', 'Clarkland', 'New Tanyaview', 'East Adamstad']",Avery PLC,898884,519265,91
friend199,9.4,"['Jerry Lawson', 'Marilyn Hayes', 'Diane Harper', 'Lori Davis']","['Penny Joseph', 'Marilyn Hayes', 'Diane Harper']","['Lori Davis', 'Jerry Lawson', 'Melinda Flores', 'William Burch', 'William Burch']",Indeed vote out large see accept.,"['Thriller', 'Documentary', 'Western', 'Historical', 'Horror']",1986-07-31,"['Canada', 'Jersey', 'Trinidad and Tobago', 'Saint Lucia', 'Panama']","['Twi', 'Inupiaq']","['West Mariemouth', 'Foxton', 'Jeffreychester', 'East Troy', 'Port Richard']",Hernandez-Wilson,755995,496961,65
ever799,2.1,"['Melinda Flores', 'Angela Perry']","['Jerry Lawson', 'Melinda Flores', 'Melinda Flores', 'William Burch', 'Lori Davis']","['Lori Davis', 'Brittany Harper', 'Angela Perry', 'Angela Perry', 'Diane Harper']",Star friend few action.,"['Mystery', 'Romance', 'Historical', 'Superhero']",2020-02-19,['Moldova'],"['Yoruba', 'Interlingue', 'English', 'Avaric']","['North Jacquelinefort', 'Ashleebury', 'New Samantha', 'North Kari']","Wells, Banks and Mccullough",952662,578213,143
develop776,7.9,"['William Burch', 'Brittany Harper', 'William Burch', 'Diane Harper', 'William Burch']",['Mary Thompson'],"['Melinda Flores', 'Jerry Lawson', 'William Burch']",Part create then degree pull media foreign.,"['Mystery', 'Animation', 'Biographical', 'Action', 'Family']",1973-04-30,"['United States Minor Outlying Islands', 'United Arab Emirates', 'Guernsey', 'Chad']",['Gaelic'],"['East Michael', 'New Maryburgh', 'New Jason', 'Aaronborough', 'Jasontown']",Hayes-Huffman,226650,141479,112
while339,4.4,"['Melinda Flores', 'Penny Joseph', 'Marilyn Hayes', 'Jerry Lawson']","['Jerry Lawson', 'Mary Thompson', 'Angela Perry', 'Diane Harper']","['Brittany Harper', 'Lori Davis', 'Brittany Harper']",Her family prepare local all skin hour.,"['Musical', 'War', 'Crime', 'Romance', 'War']",1974-03-28,"['Jordan', 'Kazakhstan', 'Somalia', 'Namibia']","['Sotho, Southern', 'Macedonian', 'Mongolian', 'Ndonga']","['Lake Michelleborough', 'Laurachester']",Reynolds-Mitchell,470692,540922,107
agent249,6.7,"['Angela Perry', 'Brittany Harper', 'Angela Perry', 'Lori Davis']","['Lori Davis', 'Marilyn Hayes', 'Mary Thompson']","['Lori Davis', 'Lori Davis', 'Mary Thompson', 'Angela Perry']",Claim write example hair card.,"['Adventure', 'Drama']",1975-11-14,"['Honduras', 'Qatar']","['Dutch', 'Chinese', 'Italian', 'Hindi']","['Lake Anaburgh', 'South Jeremy', 'Farmerfurt', 'Philipview', 'Amberport']",Barker PLC,946722,896072,117
important551,0.1,"['Jerry Lawson', 'Diane Harper', 'Penny Joseph', 'Angela Perry']",['Brittany Harper'],['Jerry Lawson'],Card everybody there audience kid inside.,"['Documentary', 'Fantasy', 'Science Fiction (Sci-Fi)', 'Animation']",1988-01-29,['Paraguay'],"['Lingala', 'Welsh', 'Kinyarwanda', 'Tajik', 'Somali']",['Port Timothy'],"Moss, Patterson and Davis",115734,370876,148
game975,0.3,"['Marilyn Hayes', 'Melinda Flores', 'William Burch']",['Diane Harper'],"['Angela Perry', 'Mary Thompson', 'Brittany Harper']",Back democratic room force up human maybe.,"['Documentary', 'Crime', 'Thriller', 'Fantasy']",2020-03-29,"['Finland', 'Angola']","['German', 'Inupiaq']","['Aliciaberg', 'North Megantown', 'Cynthiahaven']",Thomas Group,849577,552218,72
boy263,9.1,['Melinda Flores'],"['Mary Thompson', 'Mary Thompson', 'William Burch']","['Angela Perry', 'Marilyn Hayes', 'Jerry Lawson', 'Mary Thompson']",Pass option number consumer eye difficult.,"['Biographical', 'Superhero', 'Horror', 'Horror', 'Comedy']",1985-06-10,"['Iceland', 'Bolivia', 'Malawi', 'Sudan']","['Swati', 'Sichuan Yi', 'Turkmen']","['West Keith', 'Brittanymouth', 'East Mark', 'Robinsonhaven', 'East Jennifer']",Watkins-Stone,944886,664146,105
attack603,7.1,"['Melinda Flores', 'Melinda Flores', 'Angela Perry', 'Penny Joseph', 'William Burch']",['William Burch'],"['William Burch', 'Mary Thompson', 'Lori Davis', 'Jerry Lawson']",Want suggest short.,"['Family', 'War', 'Crime', 'Comedy']",1984-11-17,['Wallis and Futuna'],"['Kikuyu', 'French', 'Sotho, Southern', 'Sotho, Southern']","['Micheleshire', 'West Lisa', 'Cabreraberg', 'North Edwardbury', 'Jeffreyside']",Pugh-Powers,257074,799532,126
prepare892,2.8,"['Penny Joseph', 'Diane Harper', 'Melinda Flores', 'Brittany Harper']","['Diane Harper', 'Mary Thompson']","['Lori Davis', 'Penny Joseph']",Method use while machine understand.,"['Science Fiction (Sci-Fi)', 'Science Fiction (Sci-Fi)', 'Mystery', 'Crime']",1971-05-07,"['Sierra Leone', 'Venezuela', 'Australia', 'Myanmar', 'United Kingdom']","['Malayalam', 'Maltese', 'Dutch', 'Ojibwa']","['North Gregory', 'Laurenland']",Brown-Porter,805080,602892,177
would670,5.0,['Melinda Flores'],"['William Burch', 'William Burch', 'Penny Joseph', 'Diane Harper', 'William Burch']","['Marilyn Hayes', 'Mary Thompson', 'William Burch', 'Mary Thompson', 'Jerry Lawson']",Tell gas clear visit.,"['Family', 'Drama', 'Animation', 'Documentary', 'Animation']",2017-10-23,['Lesotho'],['Dzongkha'],"['East Rebecca', 'East Robert']","Powers, Jimenez and Juarez",767344,723352,106
time566,8.8,"['William Burch', 'Penny Joseph', 'Mary Thompson']","['Brittany Harper', 'Jerry Lawson', 'Lori Davis']",['William Burch'],Democrat weight save speech until along court able.,"['Superhero', 'Fantasy', 'Animation', 'Musical']",2013-03-26,"['Montserrat', 'Jamaica', 'Venezuela']","['Zulu', 'Uzbek', 'Galician', 'Thai']","['Elliottstad', 'Torresside', 'Loristad', 'Billyfurt', 'Bergstad']","Bryant, Gordon and Patton",289223,883836,111
price165,8.0,"['Marilyn Hayes', 'Penny Joseph', 'Mary Thompson', 'Diane Harper', 'Angela Perry']","['Angela Perry', 'Jerry Lawson', 'Jerry Lawson', 'Brittany Harper']","['Brittany Harper', 'Melinda Flores', 'Marilyn Hayes', 'Mary Thompson', 'Jerry Lawson']",Teacher hair quite attention.,"['War', 'Sport', 'Fantasy', 'Science Fiction (Sci-Fi)', 'Western']",1982-12-15,"['Zimbabwe', 'Antigua and Barbuda', 'Holy See (Vatican City State)', 'Rwanda', 'Falkland Islands (Malvinas)']","['Basque', 'Macedonian', 'Finnish']","['Matthewshaven', 'New Lisa', 'Jeremyport', 'West Sarah']","Parker, Gibbs and Kelly",302555,341813,115
sense244,0.6,"['Mary Thompson', 'Jerry Lawson', 'Brittany Harper', 'Penny Joseph', 'Lori Davis']","['Marilyn Hayes', 'Jerry Lawson', 'Penny Joseph', 'Melinda Flores', 'Brittany Harper']","['Melinda Flores', 'Diane Harper', 'Marilyn Hayes', 'Angela Perry', 'Mary Thompson']",Which physical expect despite mother break.,"['Drama', 'Drama', 'Action', 'Musical', 'Crime']",2005-09-29,"['Isle of Man', 'Sao Tome and Principe', 'Slovakia (Slovak Republic)']","['Interlingua', 'Mongolian', 'Dutch', 'Swahili']",['Connieberg'],"Smith, Blake and Stevenson",267197,598631,98
full21,9.1,['Mary Thompson'],"['Penny Joseph', 'Angela Perry', 'Penny Joseph', 'Lori Davis', 'Jerry Lawson']",['Penny Joseph'],Artist offer price.,['Sport'],2021-10-08,"['Svalbard & Jan Mayen Islands', 'Mali']","['Hindi', 'Ewe', 'Yiddish', 'Bislama']","['Bellborough', 'Lukeburgh']","Rosario, Hall and Lee",924278,458906,177
